Fiscal_Quarter,Revenue_USD
Q1-2022,6623642.8307391
Q1-2023,12794533.3638183
Q1-2024,15364472.2920905
Q1-2025,12628614.8329354
Q1-2026,5033847.3324699
Q1-2027,2013390.7391941
Q1-2028,1058517.5608698
Q1-2029,105128.79743880001
Q1-2030,4035.9112176
Q2-2022,10070840.2163703
Q2-2023,13796316.8850569
Q2-2024,14013160.3884404
Q2-2025,11322508.8405119
Q2-2026,4462063.4634141
Q2-2027,2121301.7091789
Q2-2028,731471.9931308
Q2-2029,64877.589712
Q2-2030,7784.0205
Q3-2022,12211142.7310747
Q3-2023,13947082.485552
Q3-2024,15621395.7548517
Q3-2025,10350094.0026507
Q3-2026,4233464.164224
Q3-2027,2068401.7421221
Q3-2028,392323.0110746
Q3-2029,88108.463558
Q3-2030,558.6748200000001
Q4-2022,12321208.882950401
Q4-2023,16062846.4194746
Q4-2024,12487050.5504539
Q4-2025,7289267.8150416
Q4-2026,3173616.2298001
Q4-2027,1574570.1123765
Q4-2028,229306.3270131
Q4-2029,118928.29991999999
